,overall_ntrials,overall_ncorrect,overall_rt_mean,overall_rt_mean_outrmvd,overall_rt_outrmvd,overall_dprime,overall_criterion,overall_N,overall_S,overall_H,overall_F,incongruent_ntrials,incongruent_ncorrect,incongruent_rt_mean,incongruent_rt_mean_outrmvd,incongruent_rt_outrmvd,incongruent_dprime,incongruent_criterion,incongruent_N,incongruent_S,incongruent_H,incongruent_F,congruent_ntrials,congruent_ncorrect,congruent_rt_mean,congruent_rt_mean_outrmvd,congruent_rt_outrmvd,congruent_dprime,congruent_criterion,congruent_N,congruent_S,congruent_H,congruent_F,stroop_ncorrect,stroop_dprime,stroop_rt_mean_outrmvd,group
4398,112.0,107.0,835.485981308,815.355769231,3.0,3.56539928553,-0.317465850079,56.0,56.0,55.0,4.0,56.0,51.0,831.803921569,818.84,1.0,2.87031361462,-0.367586283431,28.0,28.0,27.0,4.0,56.0,56.0,838.839285714,812.12962963,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,5.0,1.35844792844,-6.71037037037,0.0
4399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4401,112.0,107.0,1866.56074766,1707.81904762,2.0,3.56539928553,-0.317465850079,56.0,56.0,55.0,4.0,56.0,55.0,1593.0,1517.26415094,2.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,56.0,52.0,2155.90384615,1937.78431373,1.0,3.04460988258,-0.280438149448,28.0,28.0,27.0,3.0,-3.0,-0.872513979684,420.520162782,0.0
4402,112.0,108.0,1238.41666667,1139.02884615,4.0,3.7113346552,-0.244498165246,56.0,56.0,55.0,3.0,56.0,53.0,1302.90566038,1261.61538462,1.0,3.26797688342,-0.168754649027,28.0,28.0,27.0,2.0,56.0,55.0,1176.27272727,1110.09259259,1.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,2.0,0.649146978842,-151.522792023,1.0
4403,112.0,110.0,1591.08181818,1555.39449541,1.0,4.20033098569,4.4408920985e-16,56.0,56.0,55.0,1.0,56.0,54.0,1801.03703704,1731.60377358,1.0,3.60548618148,-2.22044604925e-16,28.0,28.0,27.0,1.0,56.0,56.0,1388.625,1356.78181818,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,2.0,0.623275361577,-374.821955403,0.0
4404,112.0,111.0,1197.1981982,1121.84259259,3.0,4.47527257704,-0.137470795675,56.0,56.0,56.0,1.0,56.0,55.0,1300.09090909,1195.75471698,2.0,3.91712386227,-0.155818840394,28.0,28.0,28.0,1.0,56.0,56.0,1096.14285714,1050.61818182,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,1.0,0.311637680788,-145.136535163,0.0
4406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
4409,112.0,106.0,2474.48113208,2412.7047619,1.0,3.26797688342,0.168754649027,56.0,56.0,52.0,2.0,56.0,53.0,2039.01886792,1994.76923077,1.0,3.26797688342,0.168754649027,28.0,28.0,26.0,1.0,56.0,53.0,2909.94339623,2793.57692308,1.0,3.26797688342,0.168754649027,28.0,28.0,26.0,1.0,0.0,0.0,798.807692308,0.0
4410,112.0,59.0,1365.30508475,1299.35087719,2.0,0.135236193097,-0.112394273244,56.0,56.0,32.0,29.0,56.0,5.0,1752.2,1752.2,0.0,-2.87031361462,-0.367586283431,28.0,28.0,4.0,27.0,56.0,54.0,1329.48148148,1259.07692308,2.0,3.57961456421,-0.324573489421,28.0,28.0,28.0,2.0,49.0,6.44992817883,-493.123076923,1.0
4411,112.0,109.0,822.348623853,792.0,2.0,3.98627624655,0.381968960921,56.0,56.0,53.0,0.0,56.0,53.0,892.698113208,851.961538462,1.0,3.35624756337,0.436256989842,28.0,28.0,25.0,0.0,56.0,56.0,755.767857143,732.092592593,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,3.0,0.872513979684,-119.868945869,0.0
4412,112.0,58.0,2375.10344828,2375.10344828,0.0,0.0896423510758,-0.0448211755379,56.0,56.0,30.0,28.0,56.0,28.0,2718.0,2718.0,0.0,0.0,0.180012369793,28.0,28.0,12.0,12.0,56.0,30.0,2055.06666667,1924.55172414,1.0,0.186093987008,-0.273059363297,28.0,28.0,18.0,16.0,2.0,0.186093987008,-793.448275862,0.0
4413,112.0,112.0,2316.66071429,2190.40366972,3.0,4.75021416839,8.881784197e-16,56.0,56.0,56.0,0.0,56.0,56.0,2060.44642857,2032.81818182,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,56.0,2572.875,2378.88888889,2.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,0.0,0.0,346.070707071,1.0
4414,112.0,100.0,1440.4,1423.73737374,1.0,2.49551601455,-0.0974086269003,56.0,56.0,51.0,7.0,56.0,54.0,1361.75925926,1361.75925926,0.0,3.57961456421,-0.324573489421,28.0,28.0,28.0,2.0,56.0,46.0,1532.7173913,1532.7173913,0.0,1.84164595274,-0.0,28.0,28.0,23.0,5.0,-8.0,-1.73796861148,170.958132045,0.0
4415,112.0,109.0,1315.02752294,1226.99065421,2.0,3.90290858358,-0.148711201053,56.0,56.0,55.0,2.0,56.0,56.0,1024.32142857,974.763636364,1.0,4.22876154306,2.22044604925e-16,28.0,28.0,28.0,0.0,56.0,53.0,1622.18867925,1509.34615385,1.0,3.26797688342,-0.168754649027,28.0,28.0,27.0,2.0,-3.0,-0.96078465963,534.582517483,0.0
4416,112.0,108.0,959.407407407,927.41509434,2.0,3.60548618148,-2.22044604925e-16,56.0,56.0,54.0,2.0,56.0,53.0,948.150943396,902.784313725,2.0,3.26797688342,-0.168754649027,28.0,28.0,27.0,2.0,56.0,55.0,970.254545455,933.962962963,1.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,2.0,0.649146978842,31.1786492375,0.0
4417,112.0,85.0,1907.75294118,1861.6547619,1.0,1.42039622063,-0.144249288382,56.0,56.0,45.0,16.0,56.0,55.0,1870.27272727,1870.27272727,0.0,3.91712386227,0.155818840394,28.0,28.0,27.0,0.0,56.0,30.0,1976.46666667,1845.31034483,1.0,0.186093987008,-0.273059363297,28.0,28.0,18.0,16.0,-25.0,-3.73102987526,-24.9623824451,0.0
4418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
