,proband_id,test_name,phase,load,trialn,ans,array_f,probe_f,rsp,rt
13,4307,scap,test,3,10,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-21.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-22.BMP,No,720
14,4307,scap,test,3,11,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-23.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-24.BMP,Yes,770
15,4307,scap,test,3,12,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-25.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-26.BMP,No,870
16,4307,scap,test,3,13,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-27.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load3-28.BMP,No,790
17,4307,scap,test,4,0,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-1.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-2.BMP,No,1040
18,4307,scap,test,4,1,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-3.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-4.BMP,Yes,1000
19,4307,scap,test,4,2,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-5.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-6.BMP,Yes,900
20,4307,scap,test,4,3,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-7.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-8.BMP,No,690
21,4307,scap,test,4,4,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-9.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-10.BMP,No,1351
22,4307,scap,test,4,5,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-11.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-12.BMP,No,1000
23,4307,scap,test,4,6,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-13.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-14.BMP,No,980
24,4307,scap,test,4,7,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-15.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-16.BMP,No,970
25,4307,scap,test,4,8,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-17.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-18.BMP,No,2200
26,4307,scap,test,4,9,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-19.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-20.BMP,Yes,790
27,4307,scap,test,4,10,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-21.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-22.BMP,Yes,1570
28,4307,scap,test,4,11,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-23.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-24.BMP,Yes,1291
29,4307,scap,test,4,12,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-25.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-26.BMP,No,940
30,4307,scap,test,4,13,No,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-27.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load4-28.BMP,Yes,1500
31,4307,scap,test,5,0,Yes,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-1.BMP,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\scap\load5-2.BMP,No,2440
