,proband_id,test_name,phase,trialn,sequence,rsp
31,4376,verbal_working_memory,digit letter,5,H18,True
32,4376,verbal_working_memory,digit letter,6,T9A3,True
33,4376,verbal_working_memory,digit letter,7,V1J5,True
34,4376,verbal_working_memory,digit letter,8,7N4L,True
35,4376,verbal_working_memory,digit letter,9,8D6G1,False
36,4376,verbal_working_memory,digit letter,10,K2C7S,False
37,4376,verbal_working_memory,digit letter,11,5P3Y9,True
38,4376,verbal_working_memory,digit letter,12,M4E7Q2,False
39,4376,verbal_working_memory,digit letter,13,W8H5F3,False
40,4376,verbal_working_memory,digit letter,14,6G9A2S,False
0,4377,verbal_working_memory,forward,0,629,True
1,4377,verbal_working_memory,forward,1,375,True
2,4377,verbal_working_memory,forward,2,5417,True
3,4377,verbal_working_memory,forward,3,8396,True
4,4377,verbal_working_memory,forward,4,36925,True
5,4377,verbal_working_memory,forward,5,69471,True
6,4377,verbal_working_memory,forward,6,918427,True
7,4377,verbal_working_memory,forward,7,635482,True
8,4377,verbal_working_memory,forward,8,1285346,False
9,4377,verbal_working_memory,forward,9,2814975,True
10,4377,verbal_working_memory,forward,10,38295174,True
11,4377,verbal_working_memory,forward,11,59182647,False
12,4377,verbal_working_memory,backward,0,51,True
13,4377,verbal_working_memory,backward,1,38,True
14,4377,verbal_working_memory,backward,2,493,True
15,4377,verbal_working_memory,backward,3,526,True
16,4377,verbal_working_memory,backward,4,3814,True
17,4377,verbal_working_memory,backward,5,1795,True
18,4377,verbal_working_memory,backward,6,62972,True
19,4377,verbal_working_memory,backward,7,48527,True
20,4377,verbal_working_memory,backward,8,715286,False
21,4377,verbal_working_memory,backward,9,831964,False
22,4377,verbal_working_memory,practice,0,6F,True
23,4377,verbal_working_memory,practice,1,G4,True
24,4377,verbal_working_memory,practice,2,3W5,True
25,4377,verbal_working_memory,practice,3,T7L,True
26,4377,verbal_working_memory,practice,4,6GA2,False
27,4377,verbal_working_memory,practice,5,9PF4,False
28,4377,verbal_working_memory,digit letter,0,L2,True
29,4377,verbal_working_memory,digit letter,1,6P,True
30,4377,verbal_working_memory,digit letter,2,B5,True
31,4377,verbal_working_memory,digit letter,3,F7L,True
32,4377,verbal_working_memory,digit letter,4,R4D,False
33,4377,verbal_working_memory,digit letter,5,H18,True
34,4377,verbal_working_memory,digit letter,6,T9A3,False
35,4377,verbal_working_memory,digit letter,7,V1J5,True
36,4377,verbal_working_memory,digit letter,8,7N4L,True
37,4377,verbal_working_memory,digit letter,9,8D6G1,True
38,4377,verbal_working_memory,digit letter,10,K2C7S,False
39,4377,verbal_working_memory,digit letter,11,5P3Y9,False
