,proband_id,test_name,phase,trialn,f,ans,rsp,rt
37,4346,face_memory,test,17,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,Yes,Yes,990
38,4346,face_memory,test,18,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis20.bmp,No,No,2810
39,4346,face_memory,test,19,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar02.bmp,Yes,No,1660
40,4346,face_memory,test,20,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,Yes,Yes,700
41,4346,face_memory,test,21,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,Yes,Yes,1150
42,4346,face_memory,test,22,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,Yes,Yes,1270
43,4346,face_memory,test,23,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,Yes,No,910
44,4346,face_memory,test,24,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis07.bmp,No,Yes,920
45,4346,face_memory,test,25,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis09.bmp,No,No,850
46,4346,face_memory,test,26,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis12.bmp,No,No,1100
47,4346,face_memory,test,27,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis17.bmp,No,Yes,1400
48,4346,face_memory,test,28,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,Yes,Yes,1480
49,4346,face_memory,test,29,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis19.bmp,No,Yes,940
50,4346,face_memory,test,30,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,Yes,Yes,1560
51,4346,face_memory,test,31,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,Yes,Yes,1000
52,4346,face_memory,test,32,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,Yes,Yes,1150
53,4346,face_memory,test,33,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,Yes,Yes,1010
54,4346,face_memory,test,34,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis10.bmp,No,No,740
55,4346,face_memory,test,35,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis08.bmp,No,No,1210
56,4346,face_memory,test,36,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,Yes,No,1220
57,4346,face_memory,test,37,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,Yes,Yes,900
58,4346,face_memory,test,38,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\idis03.bmp,No,Yes,1020
59,4346,face_memory,test,39,C:\Users\Jbarrett\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,Yes,Yes,940
0,4365,face_memory,learning,0,c:\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,None,n/a,0
1,4365,face_memory,learning,1,c:\Charlie\charlie\stimuli\visual\face_memory\tar02.bmp,None,n/a,0
2,4365,face_memory,learning,2,c:\Charlie\charlie\stimuli\visual\face_memory\tar03.bmp,None,n/a,0
3,4365,face_memory,learning,3,c:\Charlie\charlie\stimuli\visual\face_memory\tar04.bmp,None,n/a,0
4,4365,face_memory,learning,4,c:\Charlie\charlie\stimuli\visual\face_memory\tar05.bmp,None,n/a,0
5,4365,face_memory,learning,5,c:\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,None,n/a,0
6,4365,face_memory,learning,6,c:\Charlie\charlie\stimuli\visual\face_memory\tar07.bmp,None,n/a,0
7,4365,face_memory,learning,7,c:\Charlie\charlie\stimuli\visual\face_memory\tar08.bmp,None,n/a,0
8,4365,face_memory,learning,8,c:\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,None,n/a,0
9,4365,face_memory,learning,9,c:\Charlie\charlie\stimuli\visual\face_memory\tar10.bmp,None,n/a,0
10,4365,face_memory,learning,10,c:\Charlie\charlie\stimuli\visual\face_memory\tar11.bmp,None,n/a,0
11,4365,face_memory,learning,11,c:\Charlie\charlie\stimuli\visual\face_memory\tar12.bmp,None,n/a,0
12,4365,face_memory,learning,12,c:\Charlie\charlie\stimuli\visual\face_memory\tar13.bmp,None,n/a,0
13,4365,face_memory,learning,13,c:\Charlie\charlie\stimuli\visual\face_memory\tar14.bmp,None,n/a,0
14,4365,face_memory,learning,14,c:\Charlie\charlie\stimuli\visual\face_memory\tar15.bmp,None,n/a,0
15,4365,face_memory,learning,15,c:\Charlie\charlie\stimuli\visual\face_memory\tar16.bmp,None,n/a,0
16,4365,face_memory,learning,16,c:\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,None,n/a,0
17,4365,face_memory,learning,17,c:\Charlie\charlie\stimuli\visual\face_memory\tar18.bmp,None,n/a,0
18,4365,face_memory,learning,18,c:\Charlie\charlie\stimuli\visual\face_memory\tar19.bmp,None,n/a,0
19,4365,face_memory,learning,19,c:\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,None,n/a,0
20,4365,face_memory,test,0,c:\Charlie\charlie\stimuli\visual\face_memory\idis04.bmp,No,No,1370
21,4365,face_memory,test,1,c:\Charlie\charlie\stimuli\visual\face_memory\tar20.bmp,Yes,No,2840
22,4365,face_memory,test,2,c:\Charlie\charlie\stimuli\visual\face_memory\idis01.bmp,No,No,2100
23,4365,face_memory,test,3,c:\Charlie\charlie\stimuli\visual\face_memory\idis05.bmp,No,No,1461
24,4365,face_memory,test,4,c:\Charlie\charlie\stimuli\visual\face_memory\idis16.bmp,No,No,730
25,4365,face_memory,test,5,c:\Charlie\charlie\stimuli\visual\face_memory\tar17.bmp,Yes,Yes,830
26,4365,face_memory,test,6,c:\Charlie\charlie\stimuli\visual\face_memory\tar09.bmp,Yes,Yes,800
27,4365,face_memory,test,7,c:\Charlie\charlie\stimuli\visual\face_memory\idis11.bmp,No,No,1150
28,4365,face_memory,test,8,c:\Charlie\charlie\stimuli\visual\face_memory\idis06.bmp,No,No,1150
29,4365,face_memory,test,9,c:\Charlie\charlie\stimuli\visual\face_memory\idis15.bmp,No,No,2410
30,4365,face_memory,test,10,c:\Charlie\charlie\stimuli\visual\face_memory\idis14.bmp,No,No,1210
31,4365,face_memory,test,11,c:\Charlie\charlie\stimuli\visual\face_memory\tar06.bmp,Yes,Yes,830
32,4365,face_memory,test,12,c:\Charlie\charlie\stimuli\visual\face_memory\idis02.bmp,No,No,1510
33,4365,face_memory,test,13,c:\Charlie\charlie\stimuli\visual\face_memory\idis13.bmp,No,No,1270
34,4365,face_memory,test,14,c:\Charlie\charlie\stimuli\visual\face_memory\idis18.bmp,No,No,940
35,4365,face_memory,test,15,c:\Charlie\charlie\stimuli\visual\face_memory\tar01.bmp,Yes,Yes,1320
