,proband_id,test_name,phase,trialn,updates,origin,endpoint,moves,marginalpositions,rsp,rt
1,4409,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,2241
2,4409,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,6430
3,4409,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1761
4,4409,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1080
5,4409,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1390
6,4409,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1710
7,4409,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,2190
8,4409,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1881
9,4409,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",6,1400
10,4409,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",9,1650
11,4409,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",3,2440
0,4411,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,3890
1,4411,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,1050
2,4411,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,4430
3,4411,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1170
4,4411,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1330
5,4411,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1040
6,4411,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1391
7,4411,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,940
8,4411,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1940
9,4411,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,2780
10,4411,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1300
11,4411,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,2151
12,4411,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,3470
13,4411,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",9,3380
14,4411,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,5321
15,4411,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,3891
16,4411,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",14,3930
17,4411,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",2,4600
18,4411,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",14,6670
19,4411,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",14,5321
20,4411,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",12,4961
0,4412,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,2700
1,4412,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",8,2050
2,4412,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",9,2990
3,4412,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",9,2230
4,4412,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",11,1580
5,4412,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",9,1660
0,4413,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,6530
1,4413,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,4150
2,4413,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",10,3960
3,4413,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",5,24741
4,4413,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",12,5040
5,4413,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,4690
6,4413,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,4770
7,4413,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,6481
8,4413,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,4940
9,4413,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",6,4540
10,4413,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",12,2800
11,4413,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,9181
12,4413,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",7,3551
13,4413,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",6,8721
14,4413,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,5631
15,4413,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",14,3320
16,4413,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",4,9710
17,4413,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",1,11770
0,A109,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,3050
1,A109,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1061
2,A109,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,1230
3,A109,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,580
4,A109,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,410
5,A109,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,290
6,A109,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,390
7,A109,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,470
8,A109,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,350
9,A109,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,420
10,A109,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,720
11,A109,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,411
12,A109,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,5820
13,A109,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,1760
14,A109,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,1530
15,A109,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,2020
16,A109,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1950
17,A109,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,1700
18,A109,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,1470
19,A109,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,1671
20,A109,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,1860
21,A109,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",11,1210
22,A109,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",9,1860
23,A109,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",1,1760
24,A109,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",4,1740
25,A109,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",0,2330
26,A109,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",9,1530
27,A109,updating,test,24,12,1,12,drududdldlrl,"1,5,6,2,6,2,6,10,9,13,12,13,12",12,1830
28,A109,updating,test,25,12,12,9,rluuurrlldrd,"12,13,12,8,4,0,1,2,1,0,4,5,9",9,530
29,A109,updating,test,26,12,11,6,llrruddudluu,"11,10,9,10,11,7,11,15,11,15,14,10,6",6,2061
0,C102,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,3531
1,C102,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1880
2,C102,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,5290
3,C102,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1860
4,C102,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1400
5,C102,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1930
6,C102,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1910
7,C102,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1530
8,C102,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,2110
9,C102,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,2530
10,C102,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,2430
11,C102,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,2651
12,C102,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,2830
13,C102,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,2750
14,C102,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,4630
15,C102,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,2930
16,C102,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,4151
17,C102,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,3040
18,C102,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",10,7300
19,C102,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,4961
20,C102,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,4130
21,C102,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",10,14891
22,C102,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",9,9160
23,C102,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",10,7581
24,C102,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",6,4330
25,C102,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",1,6850
26,C102,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",0,10891
0,F104,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,2000
1,F104,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1310
2,F104,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,1120
3,F104,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,840
4,F104,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1110
5,F104,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1120
6,F104,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1370
7,F104,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1730
8,F104,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1760
9,F104,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,721
10,F104,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1680
11,F104,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1080
12,F104,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,3860
13,F104,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,1310
14,F104,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,940
15,F104,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,1860
16,F104,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1200
17,F104,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,930
18,F104,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,1180
19,F104,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,3031
20,F104,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",4,3080
21,F104,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",10,5970
22,F104,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",9,2180
23,F104,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",1,1290
24,F104,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",5,1160
25,F104,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",1,1650
26,F104,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",9,1951
27,F104,updating,test,24,12,1,12,drududdldlrl,"1,5,6,2,6,2,6,10,9,13,12,13,12",1,1110
28,F104,updating,test,25,12,12,9,rluuurrlldrd,"12,13,12,8,4,0,1,2,1,0,4,5,9",9,1870
29,F104,updating,test,26,12,11,6,llrruddudluu,"11,10,9,10,11,7,11,15,11,15,14,10,6",6,1260
0,J108,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",0,14573
1,J108,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1770
2,J108,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,2520
3,J108,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,4160
4,J108,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,5520
5,J108,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1530
6,J108,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,950
7,J108,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,840
8,J108,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1180
9,J108,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,1911
10,J108,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1200
11,J108,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1020
12,J108,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",11,2530
13,J108,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,870
14,J108,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,2420
15,J108,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,1460
16,J108,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1300
17,J108,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,1310
18,J108,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,900
19,J108,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",9,5711
20,J108,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,5090
21,J108,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",11,2070
22,J108,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",9,1110
23,J108,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",1,1100
24,J108,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",4,670
25,J108,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",0,790
26,J108,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",9,2680
27,J108,updating,test,24,12,1,12,drududdldlrl,"1,5,6,2,6,2,6,10,9,13,12,13,12",8,701
28,J108,updating,test,25,12,12,9,rluuurrlldrd,"12,13,12,8,4,0,1,2,1,0,4,5,9",9,870
29,J108,updating,test,26,12,11,6,llrruddudluu,"11,10,9,10,11,7,11,15,11,15,14,10,6",6,550
0,K106,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,1330
1,K106,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,580
2,K106,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,1930
3,K106,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1380
4,K106,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,1290
5,K106,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1950
6,K106,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1350
7,K106,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1680
8,K106,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1430
9,K106,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,1150
10,K106,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,970
11,K106,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,1030
12,K106,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",11,2120
13,K106,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,810
14,K106,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",10,2951
15,K106,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",11,2010
16,K106,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,1910
17,K106,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",6,1350
18,K106,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",7,1690
19,K106,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",1,1790
20,K106,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",10,2110
0,KK107,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,10860
1,KK107,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,1620
2,KK107,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",10,1400
3,KK107,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1250
4,KK107,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,940
5,KK107,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,730
6,KK107,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,1050
7,KK107,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,1410
8,KK107,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,910
9,KK107,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,1220
10,KK107,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,941
11,KK107,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,930
12,KK107,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,1200
13,KK107,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,610
14,KK107,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,660
15,KK107,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,1170
16,KK107,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,730
17,KK107,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,560
18,KK107,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,630
19,KK107,updating,test,16,6,0,10,-d-d-d-r-r-u,"0,0,4,4,8,8,12,12,13,13,14,14,10",10,830
20,KK107,updating,test,17,6,1,9,-d-d-d-r-u-l,"1,1,5,5,9,9,13,13,14,14,10,10,9",9,930
21,KK107,updating,test,18,8,10,7,-lu-lu-rr-dr,"10,10,9,5,5,4,0,0,1,2,2,6,7",7,990
22,KK107,updating,test,19,8,14,9,-rl-rl-ul-lr,"14,14,15,14,14,15,14,14,10,9,9,8,9",9,620
23,KK107,updating,test,20,8,3,1,-ld-rd-uu-ll,"3,3,2,6,6,7,11,11,7,3,3,2,1",1,560
24,KK107,updating,test,21,9,5,4,-udd-ldr-luu,"5,5,1,5,9,9,8,12,13,13,12,8,4",4,1460
25,KK107,updating,test,22,9,3,0,-dll-rrl-llu,"3,3,7,6,5,5,6,7,6,6,5,4,0",0,850
26,KK107,updating,test,23,9,10,9,-dur-udl-dul,"10,10,14,10,11,11,7,11,10,10,14,10,9",9,620
27,KK107,updating,test,24,12,1,12,drududdldlrl,"1,5,6,2,6,2,6,10,9,13,12,13,12",12,790
28,KK107,updating,test,25,12,12,9,rluuurrlldrd,"12,13,12,8,4,0,1,2,1,0,4,5,9",9,440
29,KK107,updating,test,26,12,11,6,llrruddudluu,"11,10,9,10,11,7,11,15,11,15,14,10,6",6,630
0,L105,updating,prac,0,0,4,4,------------,"4,4,4,4,4,4,4,4,4,4,4,4,4",4,1720
1,L105,updating,prac,1,1,8,12,-----------d,"8,8,8,8,8,8,8,8,8,8,8,8,12",12,930
2,L105,updating,prac,2,2,9,6,-----u-----r,"9,9,9,9,9,9,5,5,5,5,5,5,6",6,880
3,L105,updating,test,0,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,660
4,L105,updating,test,1,0,15,15,------------,"15,15,15,15,15,15,15,15,15,15,15,15,15",15,830
5,L105,updating,test,2,0,13,13,------------,"13,13,13,13,13,13,13,13,13,13,13,13,13",13,1280
6,L105,updating,test,3,1,3,2,-----------l,"3,3,3,3,3,3,3,3,3,3,3,3,2",2,910
7,L105,updating,test,4,1,1,2,-----------r,"1,1,1,1,1,1,1,1,1,1,1,1,2",2,770
8,L105,updating,test,5,1,0,4,-----------d,"0,0,0,0,0,0,0,0,0,0,0,0,4",4,1410
9,L105,updating,test,6,2,5,2,-----u-----r,"5,5,5,5,5,5,1,1,1,1,1,1,2",2,920
10,L105,updating,test,7,2,13,8,-----l-----u,"13,13,13,13,13,13,12,12,12,12,12,12,8",8,1080
11,L105,updating,test,8,2,7,2,-----l-----u,"7,7,7,7,7,7,6,6,6,6,6,6,2",2,661
12,L105,updating,test,9,3,6,15,---d---d---r,"6,6,6,6,10,10,10,10,14,14,14,14,15",15,2330
13,L105,updating,test,10,3,15,11,---l---r---u,"15,15,15,15,14,14,14,14,15,15,15,15,11",11,840
14,L105,updating,test,11,3,10,6,---l---r---u,"10,10,10,10,9,9,9,9,10,10,10,10,6",6,2260
15,L105,updating,test,12,4,13,15,--u--d--r--r,"13,13,13,9,9,9,13,13,13,14,14,14,15",15,870
16,L105,updating,test,13,4,3,6,--d--u--d--l,"3,3,3,7,7,7,3,3,3,7,7,7,6",6,920
17,L105,updating,test,14,4,0,5,--d--u--d--r,"0,0,0,4,4,4,0,0,0,4,4,4,5",5,880
18,L105,updating,test,15,6,14,11,-r-u-d-u-u-d,"14,14,15,15,11,11,15,15,11,11,7,7,11",11,880
