,proband_id,test_name,trialn,rsp
7,A109,cvlt2_recall,0,subway
8,A109,cvlt2_recall,0,bookcase
9,A109,cvlt2_recall,0,desk
10,A109,cvlt2_recall,0,cabinet
11,A109,cvlt2_recall,0,cow
12,A109,cvlt2_recall,0,squirrel
13,A109,cvlt2_recall,0,zebra
14,A109,cvlt2_recall,0,giraffe
0,A110,cvlt2_recall,0,truck
1,A110,cvlt2_recall,0,motorcycle
2,A110,cvlt2_recall,0,boat
3,A110,cvlt2_recall,0,subway
4,A110,cvlt2_recall,0,giraffe
5,A110,cvlt2_recall,0,zebra
6,A110,cvlt2_recall,0,squirrel
7,A110,cvlt2_recall,0,cow
8,A110,cvlt2_recall,0,desk
9,A110,cvlt2_recall,0,bookcase
10,A110,cvlt2_recall,0,cabinet
11,A110,cvlt2_recall,0,lamp
12,A110,cvlt2_recall,0,celery
13,A110,cvlt2_recall,0,spinach
14,A110,cvlt2_recall,0,onion
15,A110,cvlt2_recall,0,cabbage
0,C102,cvlt2_recall,0,truck
1,C102,cvlt2_recall,0,motorcycle
2,C102,cvlt2_recall,0,subway
3,C102,cvlt2_recall,0,boat
4,C102,cvlt2_recall,0,spinach
5,C102,cvlt2_recall,0,onion
6,C102,cvlt2_recall,0,cabbage
7,C102,cvlt2_recall,0,celery
8,C102,cvlt2_recall,0,zebra
9,C102,cvlt2_recall,0,giraffe
10,C102,cvlt2_recall,0,squirrel
11,C102,cvlt2_recall,0,cow
12,C102,cvlt2_recall,0,spinach
13,C102,cvlt2_recall,0,lamp
14,C102,cvlt2_recall,0,bookcase
15,C102,cvlt2_recall,0,desk
16,C102,cvlt2_recall,0,cabinet
0,F104,cvlt2_recall,0,onion
1,F104,cvlt2_recall,0,spinach
2,F104,cvlt2_recall,0,cabbage
3,F104,cvlt2_recall,0,celery
4,F104,cvlt2_recall,0,desk
5,F104,cvlt2_recall,0,lamp
6,F104,cvlt2_recall,0,cabinet
7,F104,cvlt2_recall,0,bookcase
8,F104,cvlt2_recall,0,motorcycle
9,F104,cvlt2_recall,0,subway
10,F104,cvlt2_recall,0,truck
11,F104,cvlt2_recall,0,boat
12,F104,cvlt2_recall,0,zebra
