proband_id,test_name,phase,trialn,posx,posy,dposx,dposy,rsp,rt,total_time
4382,orientation,first,2,174,158,-198,-147,0,810,4100
4382,orientation,first,3,249,-155,-163,283,0,890,4996
4382,orientation,first,4,144,171,260,315,0,820,5822
4382,orientation,first,5,292,-24,-346,-300,0,880,6708
4382,orientation,first,6,-136,-184,174,-307,0,860,7574
4382,orientation,first,7,-314,-191,209,-166,0,740,8320
4382,orientation,first,8,76,54,-282,128,0,870,9196
4382,orientation,first,9,-192,168,124,-343,0,850,10051
4382,orientation,last,0,-31,-224,233,131,0,730,739
4382,orientation,last,1,-273,-68,310,-249,0,700,1447
4382,orientation,last,2,178,207,-198,-147,0,790,2244
4382,orientation,last,3,40,-55,-163,283,0,890,3141
4382,orientation,last,4,-241,-116,260,315,0,810,3958
4382,orientation,last,5,-95,-43,-346,-300,0,830,4795
4382,orientation,last,6,287,199,174,-307,0,730,5532
4382,orientation,last,7,124,321,209,-166,0,800,6339
4382,orientation,last,8,-123,133,-282,128,0,861,7208
4382,orientation,last,9,138,284,124,-343,0,800,8016
4383,orientation,first,0,44,-336,233,131,0,740,748
4383,orientation,first,1,291,-190,310,-249,0,610,1364
4383,orientation,first,2,174,158,-198,-147,0,820,2190
4383,orientation,first,3,249,-155,-163,283,0,820,3016
4383,orientation,first,4,144,171,260,315,0,760,3782
4383,orientation,first,5,292,-24,-346,-300,0,720,4508
4383,orientation,first,6,-136,-184,174,-307,0,660,5173
4383,orientation,first,7,-314,-191,209,-166,0,530,5708
4383,orientation,first,8,76,54,-282,128,0,340,6813
4383,orientation,first,9,-192,168,124,-343,0,830,7648
4383,orientation,last,0,-31,-224,233,131,0,790,800
4383,orientation,last,1,-273,-68,310,-249,0,800,1607
4383,orientation,last,2,178,207,-198,-147,0,710,2324
4383,orientation,last,3,40,-55,-163,283,0,730,3061
4383,orientation,last,4,-241,-116,260,315,0,740,3808
4383,orientation,last,5,-95,-43,-346,-300,0,441,5066
4383,orientation,last,6,287,199,174,-307,0,330,6213
4383,orientation,last,7,124,321,209,-166,0,650,6870
4383,orientation,last,8,-123,133,-282,128,0,890,7768
4383,orientation,last,9,138,284,124,-343,0,840,8616
4384,orientation,first,0,44,-336,233,131,0,2270,2278
4384,orientation,first,1,291,-190,310,-249,0,2030,4314
4384,orientation,first,2,174,158,-198,-147,0,1650,5970
