proband_id,test_name,phase,trialn,matches,ans,symbol1,symbol2,symbol3,rsp,rt
4460,ipcpts,test,112,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,Yes,599
4460,ipcpts,test,113,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,114,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,No,0
4460,ipcpts,test,115,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,Yes,643
4460,ipcpts,test,116,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym1.bmp,No,0
4460,ipcpts,test,117,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym7.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym4.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym5.bmp,No,0
4460,ipcpts,test,118,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym0.bmp,No,0
4460,ipcpts,test,119,2,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym9.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym8.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,No,0
4460,ipcpts,test,120,0,No,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,No,0
4460,ipcpts,test,121,3,Yes,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym6.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym3.bmp,C:\Users\oleach\Charlie\charlie\stimuli\visual\ipcpts\sym2.bmp,Yes,452
