proband_id,test_name,condition,phase,trialn,n,positions,symbols,correct,rt,responses,rt_first
4433,corsi,simultaneous,test,11,5,"[(-175, 173), (-285, -16), (-63, 233), (22, -298), (57, -156), (92, 107), (202, -232), (-252, 118), (-153, -182), (214, 123)]",ccccc,0,4264,"[(1, 2400), (7, 1660)]",2400
4433,corsi,forward,practice,0,2,"[(22, -157), (223, -87), (-19, 229), (-248, 280)]",cc,1,8845,"[(0, 6730), (1, 110)]",6730
4433,corsi,forward,test,0,2,"[(-217, -104), (-214, 227), (-54, 123), (-52, 204)]",cc,1,4334,"[(0, 3280), (1, 850)]",3280
4433,corsi,forward,test,1,2,"[(-243, 262), (102, 18), (-179, -182), (252, -188)]",cc,1,2824,"[(0, 1850), (1, 770)]",1850
4433,corsi,forward,test,2,2,"[(-130, -36), (202, -240), (247, 121), (-185, 238)]",cc,1,3544,"[(0, 1240), (1, 850)]",1240
4433,corsi,forward,test,3,3,"[(-203, 180), (24, -213), (199, -196), (247, 253), (-104, 87), (-182, -96)]",ccc,1,5707,"[(0, 2510), (1, 1841), (2, 1050)]",2510
4433,corsi,forward,test,4,3,"[(-259, 243), (136, 116), (-77, -137), (-45, 183), (-213, -271), (-109, -238)]",ccc,1,5616,"[(0, 2440), (1, 1240), (2, 1630)]",2440
4433,corsi,forward,test,5,3,"[(29, -275), (-243, -2), (254, 275), (-100, 168), (3, -33), (-243, -191)]",ccc,1,5516,"[(0, 1810), (1, 1640), (2, 1760)]",1810
4433,corsi,forward,test,6,4,"[(-36, -257), (-129, -94), (-128, 254), (-79, -17), (141, 297), (-131, -253), (-210, 37), (-235, -55)]",cccc,1,8568,"[(0, 2010), (1, 1930), (2, 1730), (3, 860)]",2010
4433,corsi,forward,test,7,4,"[(-218, -129), (-72, -41), (276, 285), (102, -163), (-186, 26), (-260, 138), (106, -34), (-181, 147)]",cccc,1,10268,"[(0, 1600), (1, 960), (2, 5490), (3, 590)]",1600
4433,corsi,forward,test,8,4,"[(-83, 98), (-175, 105), (158, -199), (14, -32), (263, -80), (265, 227), (-15, -235), (261, 93)]",cccc,1,8618,"[(0, 2130), (1, 1380), (2, 2830), (3, 1870)]",2130
4433,corsi,forward,test,9,5,"[(211, -69), (-16, 194), (290, -229), (-237, -80), (-168, 30), (128, -253), (-159, -226), (-28, -24), (84, -88), (208, 156)]",ccccc,0,2602,"[(1, 2500)]",2500
4433,corsi,forward,test,10,5,"[(43, -237), (-207, -84), (14, 201), (-56, -26), (264, -291), (235, 150), (-107, -246), (44, 120), (94, -136), (-287, 211)]",ccccc,0,1832,"[(2, 1730)]",1730
4433,corsi,forward,test,11,5,"[(212, -65), (-272, 196), (-190, 278), (70, -86), (60, -247), (134, -240), (-198, -287), (-159, 113), (-6, -49), (-15, -254)]",ccccc,0,6208,"[(0, 1610), (1, 2180), (2, 930), (7, 1080)]",1610
4433,corsi,sequence,practice,0,2,"[(109, -63), (-79, 30), (61, 222), (294, 67)]",cx,1,5876,"[(0, 2650), (1, 1220)]",2650
4433,corsi,sequence,practice,1,2,"[(-299, 147), (263, 110), (149, -280), (69, -274)]",xc,0,2732,"[(0, 1730)]",1730
4433,corsi,sequence,practice,2,3,"[(-243, -75), (249, 194), (-245, 237), (-153, 99), (206, 105), (231, -184)]",xcc,0,8015,"[(1, 2571), (4, 1600)]",2571
4433,corsi,sequence,practice,3,3,"[(-87, 85), (-101, -204), (52, -69), (-177, -2), (3, -150), (-71, 177)]",cxc,0,4555,"[(0, 1590), (1, 961)]",1590
4433,corsi,sequence,test,0,2,"[(20, 205), (-110, -74), (-260, -54), (-297, 83)]",cx,1,3494,"[(0, 2080), (1, 1210)]",2080
4433,corsi,sequence,test,1,2,"[(-151, -103), (-216, 77), (85, -284), (264, 73)]",cx,1,2484,"[(0, 1510), (1, 770)]",1510
4433,corsi,sequence,test,2,2,"[(-132, 279), (232, 79), (272, -77), (-295, -138)]",cx,1,3324,"[(0, 2050), (1, 1070)]",2050
4433,corsi,sequence,test,3,3,"[(296, 140), (158, 54), (178, 127), (53, 156), (-79, -19), (218, -148)]",xcx,0,4244,"[(1, 2640), (2, 1400)]",2640
4433,corsi,sequence,test,4,3,"[(-247, -229), (-222, -54), (-123, -98), (58, 248), (203, -6), (60, -51)]",cxx,1,6267,"[(0, 3491), (1, 980), (2, 1490)]",3491
4433,corsi,sequence,test,5,3,"[(250, -55), (228, -137), (-8, -166), (75, 208), (-20, 117), (-208, -43)]",cxx,0,9713,"[(1, 9611)]",9611
4433,corsi,sequence,test,6,4,"[(103, 51), (22, -61), (141, 170), (-69, -63), (110, -274), (87, 275), (-89, 202), (-158, 72)]",cxxc,1,5969,"[(0, 1920), (3, 1860), (1, 700), (2, 1081)]",1920
4433,corsi,sequence,test,7,4,"[(19, -100), (78, 196), (257, -203), (-289, -160), (231, -105), (100, -75), (-160, -155), (-142, 139)]",cxcx,1,6988,"[(0, 1790), (2, 1690), (1, 1430), (3, 1670)]",1790
4433,corsi,sequence,test,8,4,"[(-61, -184), (-78, 24), (286, 182), (81, -121), (-252, -11), (-293, 262), (-57, 251), (255, 262)]",cxcx,0,6316,"[(0, 880), (2, 1660), (3, 1780)]",880
4433,corsi,sequence,test,9,5,"[(62, -65), (-119, -104), (-212, 105), (-103, 123), (140, -11), (61, 208), (96, -144), (276, 185), (185, -257), (21, -160)]",cxxcc,0,2574,"[(0, 1640), (4, 730)]",1640
4433,corsi,sequence,test,10,5,"[(239, 79), (140, -16), (-254, -54), (253, -36), (-140, -83), (-113, -245), (-291, 101), (204, -290), (-206, 157), (48, 7)]",cxcxx,0,1273,"[(9, 1171)]",1171
4433,corsi,sequence,test,11,5,"[(34, 233), (-51, -259), (-268, 137), (-189, -237), (168, -102), (-65, 225), (-226, -94), (-158, 103), (170, 5), (296, -263)]",xxccx,0,1542,"[(3, 1440)]",1440
4441,corsi,simultaneous,practice,0,2,"[(-194, -114), (255, -160), (-285, 153), (-269, -186)]",cc,1,4374,"[(0, 2230), (1, 130)]",2230
4441,corsi,simultaneous,test,0,2,"[(153, -282), (-201, 292), (141, -30), (-130, -168)]",cc,0,7765,"[(3, 7660)]",7660
4441,corsi,simultaneous,test,1,2,"[(-134, 7), (74, -23), (117, 278), (-212, -166)]",cc,1,3041,"[(0, 2070), (1, 760)]",2070
4441,corsi,simultaneous,test,2,2,"[(212, -254), (-274, 53), (59, 269), (-167, -191)]",cc,1,3352,"[(1, 1950), (0, 1190)]",1950
4441,corsi,simultaneous,test,3,3,"[(-140, 292), (-122, -187), (17, -288), (-81, -60), (244, -219), (298, 270)]",ccc,1,4478,"[(2, 1480), (1, 660), (0, 2020)]",1480
4441,corsi,simultaneous,test,4,3,"[(19, 212), (48, -166), (-262, -116), (208, -16), (260, -189), (-244, 30)]",ccc,1,3988,"[(2, 710), (1, 990), (0, 1170)]",710
4441,corsi,simultaneous,test,5,3,"[(-185, 20), (219, 240), (20, 215), (25, -167), (-250, 187), (190, 141)]",ccc,1,3257,"[(0, 1110), (2, 980), (1, 850)]",1110
4441,corsi,simultaneous,test,6,4,"[(-154, -51), (145, 144), (293, -244), (-6, 248), (-264, 153), (-255, -295), (-51, 122), (22, -77)]",cccc,1,4615,"[(2, 1461), (0, 910), (3, 1070), (1, 750)]",1461
4441,corsi,simultaneous,test,7,4,"[(-139, -26), (63, 131), (-163, -273), (152, 165), (-278, 37), (-22, 30), (299, -15), (114, 22)]",cccc,1,3972,"[(2, 1430), (0, 820), (1, 780), (3, 520)]",1430
4441,corsi,simultaneous,test,8,4,"[(-221, -190), (-228, -260), (71, -233), (-193, -95), (-60, -228), (234, -97), (287, -4), (191, 204)]",cccc,1,3774,"[(1, 1381), (0, 430), (3, 860), (2, 680)]",1381
4441,corsi,simultaneous,test,9,5,"[(-87, -8), (137, 236), (41, 279), (177, 47), (-274, 74), (193, -221), (-165, -51), (115, 141), (-2, -104), (-274, -174)]",ccccc,1,5149,"[(4, 1890), (0, 690), (3, 780), (1, 580), (2, 680)]",1890
4441,corsi,simultaneous,test,10,5,"[(-106, 180), (83, -239), (124, -167), (248, 97), (152, 229), (-190, -248), (2, -37), (-50, -190), (-184, 13), (216, -139)]",ccccc,1,5801,"[(1, 1011), (2, 680), (3, 1170), (4, 470), (0, 810)]",1011
